t,measurement,prob.mean,prob.sigma,prob.type,condition
2,1.00,D_K_aver,sigma_K,lognormal,NoNP_67_low
2.1,1.18,D_K_aver,sigma_K,lognormal,NoNP_67_low
2.2,0.931,D_K_aver,sigma_K,lognormal,NoNP_67_low
2.2,0.852,D_K_aver,sigma_K,lognormal,NoNP_67_low
6.2,0.543,D_K_aver,sigma_K,lognormal,NoNP_67_low
6.3,0.518,D_K_aver,sigma_K,lognormal,NoNP_67_low
6.6,0.483,D_K_aver,sigma_K,lognormal,NoNP_67_low
6.7,0.473,D_K_aver,sigma_K,lognormal,NoNP_67_low
24.3,0.0747,D_K_aver,sigma_K,lognormal,NoNP_67_low
2,0.416,D_L_aver,sigma_L,lognormal,NoNP_67_low
2.1,0.561,D_L_aver,sigma_L,lognormal,NoNP_67_low
2.2,0.455,D_L_aver,sigma_L,lognormal,NoNP_67_low
2.2,0.385,D_L_aver,sigma_L,lognormal,NoNP_67_low
6.2,0.259,D_L_aver,sigma_L,lognormal,NoNP_67_low
6.3,0.327,D_L_aver,sigma_L,lognormal,NoNP_67_low
6.6,0.268,D_L_aver,sigma_L,lognormal,NoNP_67_low
2,1.75,D_S_aver,sigma_S,lognormal,NoNP_67_low
2.1,1.72,D_S_aver,sigma_S,lognormal,NoNP_67_low
2.2,1.93,D_S_aver,sigma_S,lognormal,NoNP_67_low
2.2,1.60,D_S_aver,sigma_S,lognormal,NoNP_67_low
6.2,1.29,D_S_aver,sigma_S,lognormal,NoNP_67_low
6.3,1.34,D_S_aver,sigma_S,lognormal,NoNP_67_low
6.6,1.21,D_S_aver,sigma_S,lognormal,NoNP_67_low
6.7,1.38,D_S_aver,sigma_S,lognormal,NoNP_67_low
24.3,0.625,D_S_aver,sigma_S,lognormal,NoNP_67_low
24.4,0.586,D_S_aver,sigma_S,lognormal,NoNP_67_low
24.8,0.694,D_S_aver,sigma_S,lognormal,NoNP_67_low
24.9,0.612,D_S_aver,sigma_S,lognormal,NoNP_67_low
48.5,0.187,D_S_aver,sigma_S,lognormal,NoNP_67_low
48.6,0.217,D_S_aver,sigma_S,lognormal,NoNP_67_low
48.6,0.149,D_S_aver,sigma_S,lognormal,NoNP_67_low
49.2,0.161,D_S_aver,sigma_S,lognormal,NoNP_67_low
2,0.326,D_T_aver,sigma_T,lognormal,NoNP_67_low
2.1,0.482,D_T_aver,sigma_T,lognormal,NoNP_67_low
2.2,0.517,D_T_aver,sigma_T,lognormal,NoNP_67_low
2.2,0.331,D_T_aver,sigma_T,lognormal,NoNP_67_low
6.2,0.210,D_T_aver,sigma_T,lognormal,NoNP_67_low
6.3,0.410,D_T_aver,sigma_T,lognormal,NoNP_67_low
6.6,0.445,D_T_aver,sigma_T,lognormal,NoNP_67_low
6.7,0.419,D_T_aver,sigma_T,lognormal,NoNP_67_low
24.3,0.370,D_T_aver,sigma_T,lognormal,NoNP_67_low
24.4,0.217,D_T_aver,sigma_T,lognormal,NoNP_67_low
24.8,0.282,D_T_aver,sigma_T,lognormal,NoNP_67_low
24.9,0.425,D_T_aver,sigma_T,lognormal,NoNP_67_low
48.1,0.228,D_T_aver,sigma_T,lognormal,NoNP_67_low
48.5,0.222,D_T_aver,sigma_T,lognormal,NoNP_67_low
48.6,0.163,D_T_aver,sigma_T,lognormal,NoNP_67_low
48.6,0.126,D_T_aver,sigma_T,lognormal,NoNP_67_low
49.2,0.130,D_T_aver,sigma_T,lognormal,NoNP_67_low
2,1.27,D_U_aver,sigma_U,lognormal,NoNP_67_low
2.1,1.01,D_U_aver,sigma_U,lognormal,NoNP_67_low
2.2,1.31,D_U_aver,sigma_U,lognormal,NoNP_67_low
2.2,1.06,D_U_aver,sigma_U,lognormal,NoNP_67_low
6.2,0.555,D_U_aver,sigma_U,lognormal,NoNP_67_low
6.3,0.568,D_U_aver,sigma_U,lognormal,NoNP_67_low
6.6,0.652,D_U_aver,sigma_U,lognormal,NoNP_67_low
6.7,0.723,D_U_aver,sigma_U,lognormal,NoNP_67_low

2.2,1.91,D_K_aver,sigma_K,lognormal,NoNP_67_middle
2.3,1.92,D_K_aver,sigma_K,lognormal,NoNP_67_middle
2.3,2.43,D_K_aver,sigma_K,lognormal,NoNP_67_middle
2.4,1.77,D_K_aver,sigma_K,lognormal,NoNP_67_middle
6.5,1.15,D_K_aver,sigma_K,lognormal,NoNP_67_middle
6.5,1.13,D_K_aver,sigma_K,lognormal,NoNP_67_middle
6.9,1.16,D_K_aver,sigma_K,lognormal,NoNP_67_middle
6.9,1.03,D_K_aver,sigma_K,lognormal,NoNP_67_middle
24.7,0.262,D_K_aver,sigma_K,lognormal,NoNP_67_middle
25.3,0.213,D_K_aver,sigma_K,lognormal,NoNP_67_middle
25.3,0.193,D_K_aver,sigma_K,lognormal,NoNP_67_middle
25.4,0.222,D_K_aver,sigma_K,lognormal,NoNP_67_middle
2.2,0.849,D_L_aver,sigma_L,lognormal,NoNP_67_middle
2.3,0.978,D_L_aver,sigma_L,lognormal,NoNP_67_middle
2.3,0.900,D_L_aver,sigma_L,lognormal,NoNP_67_middle
2.4,1.21,D_L_aver,sigma_L,lognormal,NoNP_67_middle
6.5,0.953,D_L_aver,sigma_L,lognormal,NoNP_67_middle
6.5,0.512,D_L_aver,sigma_L,lognormal,NoNP_67_middle
6.9,0.423,D_L_aver,sigma_L,lognormal,NoNP_67_middle
6.9,0.378,D_L_aver,sigma_L,lognormal,NoNP_67_middle
25.3,0.0422,D_L_aver,sigma_L,lognormal,NoNP_67_middle
25.4,0.0545,D_L_aver,sigma_L,lognormal,NoNP_67_middle
2.2,2.90,D_S_aver,sigma_S,lognormal,NoNP_67_middle
2.3,2.40,D_S_aver,sigma_S,lognormal,NoNP_67_middle
2.3,2.70,D_S_aver,sigma_S,lognormal,NoNP_67_middle
2.4,2.95,D_S_aver,sigma_S,lognormal,NoNP_67_middle
6.5,1.93,D_S_aver,sigma_S,lognormal,NoNP_67_middle
6.5,2.19,D_S_aver,sigma_S,lognormal,NoNP_67_middle
6.9,2.00,D_S_aver,sigma_S,lognormal,NoNP_67_middle
6.9,1.93,D_S_aver,sigma_S,lognormal,NoNP_67_middle
24.7,0.865,D_S_aver,sigma_S,lognormal,NoNP_67_middle
25.3,0.875,D_S_aver,sigma_S,lognormal,NoNP_67_middle
25.3,0.884,D_S_aver,sigma_S,lognormal,NoNP_67_middle
25.4,0.917,D_S_aver,sigma_S,lognormal,NoNP_67_middle
47.8,0.468,D_S_aver,sigma_S,lognormal,NoNP_67_middle
48.8,0.344,D_S_aver,sigma_S,lognormal,NoNP_67_middle
48.9,0.324,D_S_aver,sigma_S,lognormal,NoNP_67_middle
2.2,0.300,D_T_aver,sigma_T,lognormal,NoNP_67_middle
2.3,0.698,D_T_aver,sigma_T,lognormal,NoNP_67_middle
2.3,0.756,D_T_aver,sigma_T,lognormal,NoNP_67_middle
2.4,0.917,D_T_aver,sigma_T,lognormal,NoNP_67_middle
6.5,0.929,D_T_aver,sigma_T,lognormal,NoNP_67_middle
6.5,0.909,D_T_aver,sigma_T,lognormal,NoNP_67_middle
6.9,1.11,D_T_aver,sigma_T,lognormal,NoNP_67_middle
6.9,1.01,D_T_aver,sigma_T,lognormal,NoNP_67_middle
24.7,0.534,D_T_aver,sigma_T,lognormal,NoNP_67_middle
25.3,0.729,D_T_aver,sigma_T,lognormal,NoNP_67_middle
25.3,0.676,D_T_aver,sigma_T,lognormal,NoNP_67_middle
25.4,0.910,D_T_aver,sigma_T,lognormal,NoNP_67_middle
47.8,0.453,D_T_aver,sigma_T,lognormal,NoNP_67_middle
47.8,0.620,D_T_aver,sigma_T,lognormal,NoNP_67_middle
48.1,0.830,D_T_aver,sigma_T,lognormal,NoNP_67_middle
48.8,0.513,D_T_aver,sigma_T,lognormal,NoNP_67_middle
48.9,0.430,D_T_aver,sigma_T,lognormal,NoNP_67_middle
2.2,2.33,D_U_aver,sigma_U,lognormal,NoNP_67_middle
2.3,2.19,D_U_aver,sigma_U,lognormal,NoNP_67_middle
2.3,2.16,D_U_aver,sigma_U,lognormal,NoNP_67_middle
2.4,2.23,D_U_aver,sigma_U,lognormal,NoNP_67_middle
6.5,1.00,D_U_aver,sigma_U,lognormal,NoNP_67_middle
6.5,1.07,D_U_aver,sigma_U,lognormal,NoNP_67_middle
6.9,1.27,D_U_aver,sigma_U,lognormal,NoNP_67_middle
6.9,1.03,D_U_aver,sigma_U,lognormal,NoNP_67_middle
24.7,0.204,D_U_aver,sigma_U,lognormal,NoNP_67_middle
