t,measurement,prob.mean,prob.sigma,prob.type,condition
5.9,2.28,D_K_aver,sigma_K,lognormal,U16c_61_low
6.4,2.75,D_K_aver,sigma_K,lognormal,U16c_61_low
24.9,2.28,D_K_aver,sigma_K,lognormal,U16c_61_low
48,2.20,D_K_aver,sigma_K,lognormal,U16c_61_low
48.4,1.60,D_K_aver,sigma_K,lognormal,U16c_61_low
2,4.31,D_L_aver,sigma_L,lognormal,U16c_61_low
2,3.12,D_L_aver,sigma_L,lognormal,U16c_61_low
5.9,6.42,D_L_aver,sigma_L,lognormal,U16c_61_low
6.4,6.09,D_L_aver,sigma_L,lognormal,U16c_61_low
24.9,9.34,D_L_aver,sigma_L,lognormal,U16c_61_low
48,11.1,D_L_aver,sigma_L,lognormal,U16c_61_low
48.4,7.52,D_L_aver,sigma_L,lognormal,U16c_61_low
2,36.2,D_P_aver,sigma_P,lognormal,U16c_61_low
2,25.3,D_P_aver,sigma_P,lognormal,U16c_61_low
5.9,33.6,D_P_aver,sigma_P,lognormal,U16c_61_low
6.4,35.6,D_P_aver,sigma_P,lognormal,U16c_61_low
24.9,8.00,D_P_aver,sigma_P,lognormal,U16c_61_low
48,1.18,D_P_aver,sigma_P,lognormal,U16c_61_low
48.4,1.57,D_P_aver,sigma_P,lognormal,U16c_61_low
2,5.64,D_S_aver,sigma_S,lognormal,U16c_61_low
2,4.51,D_S_aver,sigma_S,lognormal,U16c_61_low
5.9,3.93,D_S_aver,sigma_S,lognormal,U16c_61_low
6.4,9.00,D_S_aver,sigma_S,lognormal,U16c_61_low
24.9,14.7,D_S_aver,sigma_S,lognormal,U16c_61_low
48,18.5,D_S_aver,sigma_S,lognormal,U16c_61_low
48.4,7.81,D_S_aver,sigma_S,lognormal,U16c_61_low
5.9,0.967,D_T_aver,sigma_T,lognormal,U16c_61_low
6.4,1.78,D_T_aver,sigma_T,lognormal,U16c_61_low
24.9,2.53,D_T_aver,sigma_T,lognormal,U16c_61_low
48,2.04,D_T_aver,sigma_T,lognormal,U16c_61_low
48.4,2.49,D_T_aver,sigma_T,lognormal,U16c_61_low
5.9,2.95,D_U_aver,sigma_U,lognormal,U16c_61_low
6.4,3.03,D_U_aver,sigma_U,lognormal,U16c_61_low
24.9,0.920,D_U_aver,sigma_U,lognormal,U16c_61_low

2,3.82,D_K_aver,sigma_K,lognormal,U16c_61_middle
2,5.0366,D_K_aver,sigma_K,lognormal,U16c_61_middle
5.9,4.99,D_K_aver,sigma_K,lognormal,U16c_61_middle
6.7,5.15,D_K_aver,sigma_K,lognormal,U16c_61_middle
24.4,6.14,D_K_aver,sigma_K,lognormal,U16c_61_middle
48.1,5.67,D_K_aver,sigma_K,lognormal,U16c_61_middle
48.4,6.73,D_K_aver,sigma_K,lognormal,U16c_61_middle
2,11.1,D_L_aver,sigma_L,lognormal,U16c_61_middle
2,9.55,D_L_aver,sigma_L,lognormal,U16c_61_middle
5.9,19.4,D_L_aver,sigma_L,lognormal,U16c_61_middle
6.7,18.1,D_L_aver,sigma_L,lognormal,U16c_61_middle
24.4,25.0,D_L_aver,sigma_L,lognormal,U16c_61_middle
24.9,23.4,D_L_aver,sigma_L,lognormal,U16c_61_middle
48.1,21.9,D_L_aver,sigma_L,lognormal,U16c_61_middle
48.4,14.5,D_L_aver,sigma_L,lognormal,U16c_61_middle
2,102.0,D_P_aver,sigma_P,lognormal,U16c_61_middle
2,106.0,D_P_aver,sigma_P,lognormal,U16c_61_middle
5.9,77.2,D_P_aver,sigma_P,lognormal,U16c_61_middle
6.7,86.3,D_P_aver,sigma_P,lognormal,U16c_61_middle
24.35,28.6,D_P_aver,sigma_P,lognormal,U16c_61_middle
24.9,16.0,D_P_aver,sigma_P,lognormal,U16c_61_middle
48.1,9.79,D_P_aver,sigma_P,lognormal,U16c_61_middle
48.4,5.77,D_P_aver,sigma_P,lognormal,U16c_61_middle
2,11.7,D_S_aver,sigma_S,lognormal,U16c_61_middle
2,9.97,D_S_aver,sigma_S,lognormal,U16c_61_middle
5.9,10.8,D_S_aver,sigma_S,lognormal,U16c_61_middle
6.7,15.1,D_S_aver,sigma_S,lognormal,U16c_61_middle
24.4,13.3,D_S_aver,sigma_S,lognormal,U16c_61_middle
24.9,35.1,D_S_aver,sigma_S,lognormal,U16c_61_middle
48.1,15.0,D_S_aver,sigma_S,lognormal,U16c_61_middle
48.4,24.6,D_S_aver,sigma_S,lognormal,U16c_61_middle
2,1.14,D_T_aver,sigma_T,lognormal,U16c_61_middle
2,0.815,D_T_aver,sigma_T,lognormal,U16c_61_middle
5.9,1.93,D_T_aver,sigma_T,lognormal,U16c_61_middle
6.7,2.34,D_T_aver,sigma_T,lognormal,U16c_61_middle
24.4,3.88,D_T_aver,sigma_T,lognormal,U16c_61_middle
24.9,6.34,D_T_aver,sigma_T,lognormal,U16c_61_middle
48.1,7.45,D_T_aver,sigma_T,lognormal,U16c_61_middle
48.4,9.28,D_T_aver,sigma_T,lognormal,U16c_61_middle
