t,measurement,prob.mean,prob.sigma,prob.type,condition
2,15.1,D_U_aver,sigma_U,lognormal,U16c_61_middle
2,7.54,D_U_aver,sigma_U,lognormal,U16c_61_middle
5.9,7.86,D_U_aver,sigma_U,lognormal,U16c_61_middle
6.7,6.33,D_U_aver,sigma_U,lognormal,U16c_61_middle
24.4,3.09,D_U_aver,sigma_U,lognormal,U16c_61_middle
24.9,2.77,D_U_aver,sigma_U,lognormal,U16c_61_middle
48.1,1.54,D_U_aver,sigma_U,lognormal,U16c_61_middle
48.4,1.16,D_U_aver,sigma_U,lognormal,U16c_61_middle

2,11.4,D_K_aver,sigma_K,lognormal,U16c_61_high
2,16.6,D_K_aver,sigma_K,lognormal,U16c_61_high
6.2,11.7,D_K_aver,sigma_K,lognormal,U16c_61_high
6.6,12.4,D_K_aver,sigma_K,lognormal,U16c_61_high
24.6,10.3,D_K_aver,sigma_K,lognormal,U16c_61_high
24.8,11.0,D_K_aver,sigma_K,lognormal,U16c_61_high
48.2,8.20,D_K_aver,sigma_K,lognormal,U16c_61_high
48.5,11.8,D_K_aver,sigma_K,lognormal,U16c_61_high
2,18.8,D_L_aver,sigma_L,lognormal,U16c_61_high
2,16.8,D_L_aver,sigma_L,lognormal,U16c_61_high
6.2,36.9,D_L_aver,sigma_L,lognormal,U16c_61_high
6.6,38.6,D_L_aver,sigma_L,lognormal,U16c_61_high
24.6,31.3,D_L_aver,sigma_L,lognormal,U16c_61_high
24.8,36.3,D_L_aver,sigma_L,lognormal,U16c_61_high
48.2,44.5,D_L_aver,sigma_L,lognormal,U16c_61_high
48.5,44.0,D_L_aver,sigma_L,lognormal,U16c_61_high
2,202.2,D_P_aver,sigma_P,lognormal,U16c_61_high
2,234.6,D_P_aver,sigma_P,lognormal,U16c_61_high
6.2,112.0,D_P_aver,sigma_P,lognormal,U16c_61_high
6.6,121.0,D_P_aver,sigma_P,lognormal,U16c_61_high
24.6,37.5,D_P_aver,sigma_P,lognormal,U16c_61_high
24.8,51.2,D_P_aver,sigma_P,lognormal,U16c_61_high
48.2,16.4,D_P_aver,sigma_P,lognormal,U16c_61_high
48.5,10.4,D_P_aver,sigma_P,lognormal,U16c_61_high
2,23.1,D_S_aver,sigma_S,lognormal,U16c_61_high
2,23.1,D_S_aver,sigma_S,lognormal,U16c_61_high
6.2,31.5,D_S_aver,sigma_S,lognormal,U16c_61_high
6.6,42.3,D_S_aver,sigma_S,lognormal,U16c_61_high
24.6,44.0,D_S_aver,sigma_S,lognormal,U16c_61_high
24.8,48.7,D_S_aver,sigma_S,lognormal,U16c_61_high
48.2,67.7,D_S_aver,sigma_S,lognormal,U16c_61_high
48.5,76.7,D_S_aver,sigma_S,lognormal,U16c_61_high
2,2.37,D_T_aver,sigma_T,lognormal,U16c_61_high
2,3.0281,D_T_aver,sigma_T,lognormal,U16c_61_high
6.2,6.60,D_T_aver,sigma_T,lognormal,U16c_61_high
6.6,3.67,D_T_aver,sigma_T,lognormal,U16c_61_high
24.6,15.5,D_T_aver,sigma_T,lognormal,U16c_61_high
24.8,6.92,D_T_aver,sigma_T,lognormal,U16c_61_high
48.2,7.11,D_T_aver,sigma_T,lognormal,U16c_61_high
48.5,13.6,D_T_aver,sigma_T,lognormal,U16c_61_high
2,18.0,D_U_aver,sigma_U,lognormal,U16c_61_high
2,33.1,D_U_aver,sigma_U,lognormal,U16c_61_high
6.2,13.6,D_U_aver,sigma_U,lognormal,U16c_61_high
6.6,18.7,D_U_aver,sigma_U,lognormal,U16c_61_high
24.6,4.88,D_U_aver,sigma_U,lognormal,U16c_61_high
24.8,6.90,D_U_aver,sigma_U,lognormal,U16c_61_high
48.2,3.23,D_U_aver,sigma_U,lognormal,U16c_61_high
48.5,3.76,D_U_aver,sigma_U,lognormal,U16c_61_high
