t,measurement,prob.mean,prob.sigma,prob.type,condition
1.9,1.66,D_K_aver,sigma_K,normal,T_67_low
2.0,1.31,D_K_aver,sigma_K,normal,T_67_low
2.0,1.68,D_K_aver,sigma_K,normal,T_67_low
2.0,1.57,D_K_aver,sigma_K,normal,T_67_low
5.6,1.23,D_K_aver,sigma_K,normal,T_67_low
5.6,1.39,D_K_aver,sigma_K,normal,T_67_low
5.6,1.49,D_K_aver,sigma_K,normal,T_67_low
6.1,1.51,D_K_aver,sigma_K,normal,T_67_low
23.9,0.946,D_K_aver,sigma_K,normal,T_67_low
24.0,1.05,D_K_aver,sigma_K,normal,T_67_low
24,1.01,D_K_aver,sigma_K,normal,T_67_low
24.4,1.15,D_K_aver,sigma_K,normal,T_67_low
48.3,0.757,D_K_aver,sigma_K,normal,T_67_low
48.4,0.812,D_K_aver,sigma_K,normal,T_67_low
48.4,0.569,D_K_aver,sigma_K,normal,T_67_low
49.8,0.404,D_K_aver,sigma_K,normal,T_67_low
50.1,0.663,D_K_aver,sigma_K,normal,T_67_low
1.9,2.357,D_L_aver,sigma_L,normal,T_67_low
2.0,2.971,D_L_aver,sigma_L,normal,T_67_low
2.0,3.52,D_L_aver,sigma_L,normal,T_67_low
2.0,2.85,D_L_aver,sigma_L,normal,T_67_low
5.6,4.55,D_L_aver,sigma_L,normal,T_67_low
5.6,3.45,D_L_aver,sigma_L,normal,T_67_low
5.6,3.84,D_L_aver,sigma_L,normal,T_67_low
6.1,3.75,D_L_aver,sigma_L,normal,T_67_low
23.9,5.31,D_L_aver,sigma_L,normal,T_67_low
24.0,6.51,D_L_aver,sigma_L,normal,T_67_low
24,5.82,D_L_aver,sigma_L,normal,T_67_low
24.4,9.08,D_L_aver,sigma_L,normal,T_67_low
48.3,4.23,D_L_aver,sigma_L,normal,T_67_low
48.4,3.95,D_L_aver,sigma_L,normal,T_67_low
48.4,4.50,D_L_aver,sigma_L,normal,T_67_low
49.8,4.61,D_L_aver,sigma_L,normal,T_67_low
50.1,2.99,D_L_aver,sigma_L,normal,T_67_low
1.9,28.6,D_P_aver,sigma_P,normal,T_67_low
2.0,24.7,D_P_aver,sigma_P,normal,T_67_low
2.0,24.5,D_P_aver,sigma_P,normal,T_67_low
2.0,27.7,D_P_aver,sigma_P,normal,T_67_low
5.6,21.8,D_P_aver,sigma_P,normal,T_67_low
5.6,16.2,D_P_aver,sigma_P,normal,T_67_low
5.6,15.6,D_P_aver,sigma_P,normal,T_67_low
6.1,17.4,D_P_aver,sigma_P,normal,T_67_low
23.9,5.34,D_P_aver,sigma_P,normal,T_67_low
24.0,2.86,D_P_aver,sigma_P,normal,T_67_low
24,4.30,D_P_aver,sigma_P,normal,T_67_low
24.4,6.36,D_P_aver,sigma_P,normal,T_67_low
48.3,1.12,D_P_aver,sigma_P,normal,T_67_low
48.4,1.05,D_P_aver,sigma_P,normal,T_67_low
48.4,0.901,D_P_aver,sigma_P,normal,T_67_low
49.8,0.496,D_P_aver,sigma_P,normal,T_67_low
50.1,1.14,D_P_aver,sigma_P,normal,T_67_low
1.9,3.86,D_S_aver,sigma_S,normal,T_67_low
2.0,4.91,D_S_aver,sigma_S,normal,T_67_low
2.0,4.40,D_S_aver,sigma_S,normal,T_67_low
2.0,3.65,D_S_aver,sigma_S,normal,T_67_low
5.6,4.03,D_S_aver,sigma_S,normal,T_67_low
5.6,4.07,D_S_aver,sigma_S,normal,T_67_low
5.6,3.97,D_S_aver,sigma_S,normal,T_67_low
6.1,5.01,D_S_aver,sigma_S,normal,T_67_low
23.9,6.07,D_S_aver,sigma_S,normal,T_67_low
24.0,4.65,D_S_aver,sigma_S,normal,T_67_low
24,5.88,D_S_aver,sigma_S,normal,T_67_low
24.4,5.50,D_S_aver,sigma_S,normal,T_67_low
48.3,5.83,D_S_aver,sigma_S,normal,T_67_low
48.4,6.32,D_S_aver,sigma_S,normal,T_67_low
48.4,5.62,D_S_aver,sigma_S,normal,T_67_low
49.8,3.20,D_S_aver,sigma_S,normal,T_67_low
50.1,6.76,D_S_aver,sigma_S,normal,T_67_low
1.9,0.450,D_T_aver,sigma_T,normal,T_67_low
