t,measurement,prob.mean,prob.sigma,prob.type,condition
2.0,0.378,D_T_aver,sigma_T,normal,T_67_low
2.0,0.426,D_T_aver,sigma_T,normal,T_67_low
2.0,0.467,D_T_aver,sigma_T,normal,T_67_low
5.6,0.871,D_T_aver,sigma_T,normal,T_67_low
5.6,1.46,D_T_aver,sigma_T,normal,T_67_low
5.6,1.47,D_T_aver,sigma_T,normal,T_67_low
6.1,0.843,D_T_aver,sigma_T,normal,T_67_low
23.9,1.25,D_T_aver,sigma_T,normal,T_67_low
24.0,1.35,D_T_aver,sigma_T,normal,T_67_low
24,1.45,D_T_aver,sigma_T,normal,T_67_low
24.4,1.57,D_T_aver,sigma_T,normal,T_67_low
48.3,0.901,D_T_aver,sigma_T,normal,T_67_low
48.4,1.09,D_T_aver,sigma_T,normal,T_67_low
48.4,1.19,D_T_aver,sigma_T,normal,T_67_low
49.8,0.753,D_T_aver,sigma_T,normal,T_67_low
50.1,1.23,D_T_aver,sigma_T,normal,T_67_low
1.9,4.41,D_U_aver,sigma_U,normal,T_67_low
2.0,4.96,D_U_aver,sigma_U,normal,T_67_low
2.0,4.49,D_U_aver,sigma_U,normal,T_67_low
2.0,3.65,D_U_aver,sigma_U,normal,T_67_low
5.6,3.82,D_U_aver,sigma_U,normal,T_67_low
5.6,2.77,D_U_aver,sigma_U,normal,T_67_low
5.6,3.41,D_U_aver,sigma_U,normal,T_67_low
6.1,3.86,D_U_aver,sigma_U,normal,T_67_low
23.9,1.38,D_U_aver,sigma_U,normal,T_67_low
24.0,1.22,D_U_aver,sigma_U,normal,T_67_low
24,1.30,D_U_aver,sigma_U,normal,T_67_low
24.4,1.68,D_U_aver,sigma_U,normal,T_67_low
50.1,0.485,D_U_aver,sigma_U,normal,T_67_low

2.0,4.80,D_K_aver,sigma_K,normal,T_67_middle
2.0,5.51,D_K_aver,sigma_K,normal,T_67_middle
2,4.38,D_K_aver,sigma_K,normal,T_67_middle
2.0,4.70,D_K_aver,sigma_K,normal,T_67_middle
6.0,3.68,D_K_aver,sigma_K,normal,T_67_middle
6.1,3.76,D_K_aver,sigma_K,normal,T_67_middle
6.4,3.88,D_K_aver,sigma_K,normal,T_67_middle
6.4,4.56,D_K_aver,sigma_K,normal,T_67_middle
24.3,3.93,D_K_aver,sigma_K,normal,T_67_middle
24.6,2.89,D_K_aver,sigma_K,normal,T_67_middle
24.7,3.17,D_K_aver,sigma_K,normal,T_67_middle
24.7,3.11,D_K_aver,sigma_K,normal,T_67_middle
48.7,2.53,D_K_aver,sigma_K,normal,T_67_middle
49.1,2.93,D_K_aver,sigma_K,normal,T_67_middle
49.1,3.61,D_K_aver,sigma_K,normal,T_67_middle
49.3,2.39,D_K_aver,sigma_K,normal,T_67_middle
49.7,3.09,D_K_aver,sigma_K,normal,T_67_middle
2.0,4.20,D_L_aver,sigma_L,normal,T_67_middle
2.0,4.33,D_L_aver,sigma_L,normal,T_67_middle
2,3.25,D_L_aver,sigma_L,normal,T_67_middle
2.0,3.58,D_L_aver,sigma_L,normal,T_67_middle
6.0,4.55,D_L_aver,sigma_L,normal,T_67_middle
6.1,4.66,D_L_aver,sigma_L,normal,T_67_middle
6.4,4.84,D_L_aver,sigma_L,normal,T_67_middle
6.4,5.19,D_L_aver,sigma_L,normal,T_67_middle
24.3,11.2,D_L_aver,sigma_L,normal,T_67_middle
24.6,7.87,D_L_aver,sigma_L,normal,T_67_middle
24.7,8.68,D_L_aver,sigma_L,normal,T_67_middle
24.7,19.7,D_L_aver,sigma_L,normal,T_67_middle
48.7,8.64,D_L_aver,sigma_L,normal,T_67_middle
49.1,10.7,D_L_aver,sigma_L,normal,T_67_middle
49.1,16.8,D_L_aver,sigma_L,normal,T_67_middle
49.3,9.26,D_L_aver,sigma_L,normal,T_67_middle
49.7,10.3,D_L_aver,sigma_L,normal,T_67_middle
2.0,79.9,D_P_aver,sigma_P,normal,T_67_middle
2.0,64.5,D_P_aver,sigma_P,normal,T_67_middle
2,71.6,D_P_aver,sigma_P,normal,T_67_middle
2.0,76.3,D_P_aver,sigma_P,normal,T_67_middle
6.0,56.3,D_P_aver,sigma_P,normal,T_67_middle
6.1,53.7,D_P_aver,sigma_P,normal,T_67_middle
6.4,50.7,D_P_aver,sigma_P,normal,T_67_middle
6.4,45.1,D_P_aver,sigma_P,normal,T_67_middle
24.3,20.8,D_P_aver,sigma_P,normal,T_67_middle
24.6,20.7,D_P_aver,sigma_P,normal,T_67_middle
24.7,13.9,D_P_aver,sigma_P,normal,T_67_middle
24.7,12.6,D_P_aver,sigma_P,normal,T_67_middle
48.7,5.59,D_P_aver,sigma_P,normal,T_67_middle
49.1,6.56,D_P_aver,sigma_P,normal,T_67_middle
49.1,9.81,D_P_aver,sigma_P,normal,T_67_middle
49.3,3.78,D_P_aver,sigma_P,normal,T_67_middle
49.7,12.6,D_P_aver,sigma_P,normal,T_67_middle
2.0,14.5,D_S_aver,sigma_S,normal,T_67_middle
2.0,10.3,D_S_aver,sigma_S,normal,T_67_middle
2,11.3,D_S_aver,sigma_S,normal,T_67_middle
2.0,11.2,D_S_aver,sigma_S,normal,T_67_middle
6.0,16.4,D_S_aver,sigma_S,normal,T_67_middle
6.1,12.7,D_S_aver,sigma_S,normal,T_67_middle
6.4,12.8,D_S_aver,sigma_S,normal,T_67_middle
6.4,11.9,D_S_aver,sigma_S,normal,T_67_middle
24.3,18.4,D_S_aver,sigma_S,normal,T_67_middle
24.6,16.1,D_S_aver,sigma_S,normal,T_67_middle
24.7,18.7,D_S_aver,sigma_S,normal,T_67_middle
24.7,14.8,D_S_aver,sigma_S,normal,T_67_middle
48.7,27.5,D_S_aver,sigma_S,normal,T_67_middle
49.1,28.8,D_S_aver,sigma_S,normal,T_67_middle
49.1,28.0,D_S_aver,sigma_S,normal,T_67_middle
49.3,20.5,D_S_aver,sigma_S,normal,T_67_middle
49.7,29.2,D_S_aver,sigma_S,normal,T_67_middle
2.0,1.03,D_T_aver,sigma_T,normal,T_67_middle
2.0,1.28,D_T_aver,sigma_T,normal,T_67_middle
2,1.40,D_T_aver,sigma_T,normal,T_67_middle
2.0,1.30,D_T_aver,sigma_T,normal,T_67_middle
6.0,4.81,D_T_aver,sigma_T,normal,T_67_middle
6.1,0.864,D_T_aver,sigma_T,normal,T_67_middle
6.4,1.92,D_T_aver,sigma_T,normal,T_67_middle
6.4,2.22,D_T_aver,sigma_T,normal,T_67_middle
24.3,3.21,D_T_aver,sigma_T,normal,T_67_middle
24.6,4.65,D_T_aver,sigma_T,normal,T_67_middle
24.7,4.87,D_T_aver,sigma_T,normal,T_67_middle
24.7,3.84,D_T_aver,sigma_T,normal,T_67_middle
48.7,4.05,D_T_aver,sigma_T,normal,T_67_middle
49.1,5.71,D_T_aver,sigma_T,normal,T_67_middle
49.1,5.10,D_T_aver,sigma_T,normal,T_67_middle
49.3,4.18,D_T_aver,sigma_T,normal,T_67_middle
49.7,6.22,D_T_aver,sigma_T,normal,T_67_middle
2.0,12.1,D_U_aver,sigma_U,normal,T_67_middle
2.0,14.1,D_U_aver,sigma_U,normal,T_67_middle
2,8.58,D_U_aver,sigma_U,normal,T_67_middle
2.0,10.8,D_U_aver,sigma_U,normal,T_67_middle
6.0,8.46,D_U_aver,sigma_U,normal,T_67_middle
6.1,8.28,D_U_aver,sigma_U,normal,T_67_middle
6.4,8.40,D_U_aver,sigma_U,normal,T_67_middle
6.4,8.66,D_U_aver,sigma_U,normal,T_67_middle
24.3,4.55,D_U_aver,sigma_U,normal,T_67_middle
24.6,3.68,D_U_aver,sigma_U,normal,T_67_middle
24.7,3.70,D_U_aver,sigma_U,normal,T_67_middle
24.7,3.09,D_U_aver,sigma_U,normal,T_67_middle
48.7,2.20,D_U_aver,sigma_U,normal,T_67_middle
49.1,2.06,D_U_aver,sigma_U,normal,T_67_middle
49.1,2.79,D_U_aver,sigma_U,normal,T_67_middle
49.3,1.50,D_U_aver,sigma_U,normal,T_67_middle
49.7,2.72,D_U_aver,sigma_U,normal,T_67_middle

1.9,8.01,D_K_aver,sigma_K,normal,T_67_high
1.9,9.64,D_K_aver,sigma_K,normal,T_67_high
2,10.8,D_K_aver,sigma_K,normal,T_67_high
2.1,10.7,D_K_aver,sigma_K,normal,T_67_high
5.9,7.59,D_K_aver,sigma_K,normal,T_67_high
6.0,7.58,D_K_aver,sigma_K,normal,T_67_high
6,6.33,D_K_aver,sigma_K,normal,T_67_high
6,5.99,D_K_aver,sigma_K,normal,T_67_high
24.3,7.38,D_K_aver,sigma_K,normal,T_67_high
24.3,7.82,D_K_aver,sigma_K,normal,T_67_high
24.6,5.40,D_K_aver,sigma_K,normal,T_67_high
24.7,6.12,D_K_aver,sigma_K,normal,T_67_high
48,6.98,D_K_aver,sigma_K,normal,T_67_high
48,7.46,D_K_aver,sigma_K,normal,T_67_high
48.5,4.16,D_K_aver,sigma_K,normal,T_67_high
48.7,7.75,D_K_aver,sigma_K,normal,T_67_high
49.3,8.29,D_K_aver,sigma_K,normal,T_67_high
1.9,7.43,D_L_aver,sigma_L,normal,T_67_high
1.9,9.95,D_L_aver,sigma_L,normal,T_67_high
2,11.3,D_L_aver,sigma_L,normal,T_67_high
2.1,9.45,D_L_aver,sigma_L,normal,T_67_high
5.9,11.0,D_L_aver,sigma_L,normal,T_67_high
6.0,11.8,D_L_aver,sigma_L,normal,T_67_high
6,11.6,D_L_aver,sigma_L,normal,T_67_high
6,12.3,D_L_aver,sigma_L,normal,T_67_high
24.3,14.9,D_L_aver,sigma_L,normal,T_67_high
24.3,14.0,D_L_aver,sigma_L,normal,T_67_high
24.6,12.3,D_L_aver,sigma_L,normal,T_67_high
24.7,14.6,D_L_aver,sigma_L,normal,T_67_high
48,13.3,D_L_aver,sigma_L,normal,T_67_high
48,11.5,D_L_aver,sigma_L,normal,T_67_high
48.5,12.7,D_L_aver,sigma_L,normal,T_67_high
48.7,12.0,D_L_aver,sigma_L,normal,T_67_high
49.3,15.9,D_L_aver,sigma_L,normal,T_67_high
1.9,126.0,D_P_aver,sigma_P,normal,T_67_high
1.9,106.0,D_P_aver,sigma_P,normal,T_67_high
2,147.0,D_P_aver,sigma_P,normal,T_67_high
2.1,102.0,D_P_aver,sigma_P,normal,T_67_high
5.9,114.0,D_P_aver,sigma_P,normal,T_67_high
6.0,111.0,D_P_aver,sigma_P,normal,T_67_high
6,107.0,D_P_aver,sigma_P,normal,T_67_high
6,90.1,D_P_aver,sigma_P,normal,T_67_high
24.3,82.4,D_P_aver,sigma_P,normal,T_67_high
24.3,74.1,D_P_aver,sigma_P,normal,T_67_high
24.6,75.4,D_P_aver,sigma_P,normal,T_67_high
24.7,59.0,D_P_aver,sigma_P,normal,T_67_high
48,48.6,D_P_aver,sigma_P,normal,T_67_high
48,37.7,D_P_aver,sigma_P,normal,T_67_high
48.7,55.0,D_P_aver,sigma_P,normal,T_67_high
49.3,52.3,D_P_aver,sigma_P,normal,T_67_high
1.9,18.8,D_S_aver,sigma_S,normal,T_67_high
1.9,22.4,D_S_aver,sigma_S,normal,T_67_high
2,24.5,D_S_aver,sigma_S,normal,T_67_high
2.1,21.2,D_S_aver,sigma_S,normal,T_67_high
5.9,27.1,D_S_aver,sigma_S,normal,T_67_high
6.0,21.0,D_S_aver,sigma_S,normal,T_67_high
6,28.3,D_S_aver,sigma_S,normal,T_67_high
6,28.9,D_S_aver,sigma_S,normal,T_67_high
24.3,74.1,D_S_aver,sigma_S,normal,T_67_high
24.3,42.5,D_S_aver,sigma_S,normal,T_67_high
24.6,67.6,D_S_aver,sigma_S,normal,T_67_high
24.7,63.7,D_S_aver,sigma_S,normal,T_67_high
48,111.0,D_S_aver,sigma_S,normal,T_67_high
48,93.5,D_S_aver,sigma_S,normal,T_67_high
48.5,159.0,D_S_aver,sigma_S,normal,T_67_high
48.7,103.0,D_S_aver,sigma_S,normal,T_67_high
49.3,101.0,D_S_aver,sigma_S,normal,T_67_high
1.9,1.84,D_T_aver,sigma_T,normal,T_67_high
1.9,2.65,D_T_aver,sigma_T,normal,T_67_high
2,2.62,D_T_aver,sigma_T,normal,T_67_high
2.1,2.09,D_T_aver,sigma_T,normal,T_67_high
5.9,3.85,D_T_aver,sigma_T,normal,T_67_high
6.0,7.33,D_T_aver,sigma_T,normal,T_67_high
6,2.86,D_T_aver,sigma_T,normal,T_67_high
6,4.29,D_T_aver,sigma_T,normal,T_67_high
24.3,6.94,D_T_aver,sigma_T,normal,T_67_high
24.3,8.08,D_T_aver,sigma_T,normal,T_67_high
24.6,10.1,D_T_aver,sigma_T,normal,T_67_high
24.7,6.97,D_T_aver,sigma_T,normal,T_67_high
48,11.8,D_T_aver,sigma_T,normal,T_67_high
48,11.4,D_T_aver,sigma_T,normal,T_67_high
48.5,8.08,D_T_aver,sigma_T,normal,T_67_high
48.7,14.0,D_T_aver,sigma_T,normal,T_67_high
49.3,12.7,D_T_aver,sigma_T,normal,T_67_high
1.9,20.4,D_U_aver,sigma_U,normal,T_67_high
1.9,21.6,D_U_aver,sigma_U,normal,T_67_high
2,21.3,D_U_aver,sigma_U,normal,T_67_high
2.1,22.6,D_U_aver,sigma_U,normal,T_67_high
5.9,19.5,D_U_aver,sigma_U,normal,T_67_high
6.0,17.6,D_U_aver,sigma_U,normal,T_67_high
6,19.8,D_U_aver,sigma_U,normal,T_67_high
24.3,17.3,D_U_aver,sigma_U,normal,T_67_high
24.3,12.3,D_U_aver,sigma_U,normal,T_67_high
24.6,14.3,D_U_aver,sigma_U,normal,T_67_high
24.7,17.1,D_U_aver,sigma_U,normal,T_67_high
48,11.0,D_U_aver,sigma_U,normal,T_67_high
48,9.90,D_U_aver,sigma_U,normal,T_67_high
48.5,18.1,D_U_aver,sigma_U,normal,T_67_high
48.7,8.80,D_U_aver,sigma_U,normal,T_67_high
49.3,11.6,D_U_aver,sigma_U,normal,T_67_high
