t,measurement,prob.mean,prob.sigma,prob.type,condition
48,4.06,D_T_aver,sigma_T,lognormal,U16p_61_middle
48,4.42,D_T_aver,sigma_T,lognormal,U16p_61_middle
2.0,9.23,D_U_aver,sigma_U,lognormal,U16p_61_middle
2.3,10.9,D_U_aver,sigma_U,lognormal,U16p_61_middle
6.0,6.00,D_U_aver,sigma_U,lognormal,U16p_61_middle
6,6.36,D_U_aver,sigma_U,lognormal,U16p_61_middle
24.2,3.24,D_U_aver,sigma_U,lognormal,U16p_61_middle
24.6,4.12,D_U_aver,sigma_U,lognormal,U16p_61_middle
48,1.63,D_U_aver,sigma_U,lognormal,U16p_61_middle
48,1.55,D_U_aver,sigma_U,lognormal,U16p_61_middle
48,1.53,D_U_aver,sigma_U,lognormal,U16p_61_middle

1.9,10.2,D_K_aver,sigma_K,lognormal,U16p_61_high
2.2,6.99,D_K_aver,sigma_K,lognormal,U16p_61_high
5.9,10.7,D_K_aver,sigma_K,lognormal,U16p_61_high
6,6.61,D_K_aver,sigma_K,lognormal,U16p_61_high
24.5,7.19,D_K_aver,sigma_K,lognormal,U16p_61_high
24.9,9.60,D_K_aver,sigma_K,lognormal,U16p_61_high
48.3,10.0,D_K_aver,sigma_K,lognormal,U16p_61_high
49.0,8.60,D_K_aver,sigma_K,lognormal,U16p_61_high
49.6,10.5,D_K_aver,sigma_K,lognormal,U16p_61_high
1.9,23.2,D_L_aver,sigma_L,lognormal,U16p_61_high
2.2,16.8,D_L_aver,sigma_L,lognormal,U16p_61_high
5.9,38.5,D_L_aver,sigma_L,lognormal,U16p_61_high
6,40.1,D_L_aver,sigma_L,lognormal,U16p_61_high
24.5,31.3,D_L_aver,sigma_L,lognormal,U16p_61_high
24.9,38.0,D_L_aver,sigma_L,lognormal,U16p_61_high
48.3,36.0,D_L_aver,sigma_L,lognormal,U16p_61_high
49.0,35.6,D_L_aver,sigma_L,lognormal,U16p_61_high
49.6,40.3,D_L_aver,sigma_L,lognormal,U16p_61_high
1.9,227.0,D_P_aver,sigma_P,lognormal,U16p_61_high
2.2,151.0,D_P_aver,sigma_P,lognormal,U16p_61_high
5.9,218.0,D_P_aver,sigma_P,lognormal,U16p_61_high
6,216.0,D_P_aver,sigma_P,lognormal,U16p_61_high
24.5,36.7,D_P_aver,sigma_P,lognormal,U16p_61_high
24.9,59.9,D_P_aver,sigma_P,lognormal,U16p_61_high
48.3,9.00,D_P_aver,sigma_P,lognormal,U16p_61_high
49.0,11.2,D_P_aver,sigma_P,lognormal,U16p_61_high
49.6,19.6,D_P_aver,sigma_P,lognormal,U16p_61_high
1.9,20.3,D_S_aver,sigma_S,lognormal,U16p_61_high
2.2,19.4,D_S_aver,sigma_S,lognormal,U16p_61_high
5.9,33.2,D_S_aver,sigma_S,lognormal,U16p_61_high
6,26.8,D_S_aver,sigma_S,lognormal,U16p_61_high
24.5,37.7,D_S_aver,sigma_S,lognormal,U16p_61_high
24.9,59.7,D_S_aver,sigma_S,lognormal,U16p_61_high
48.3,61.3,D_S_aver,sigma_S,lognormal,U16p_61_high
49.0,77.0,D_S_aver,sigma_S,lognormal,U16p_61_high
49.6,79.8,D_S_aver,sigma_S,lognormal,U16p_61_high
1.9,1.15,D_T_aver,sigma_T,lognormal,U16p_61_high
2.2,1.94,D_T_aver,sigma_T,lognormal,U16p_61_high
5.9,3.54,D_T_aver,sigma_T,lognormal,U16p_61_high
6,4.62,D_T_aver,sigma_T,lognormal,U16p_61_high
24.5,4.76,D_T_aver,sigma_T,lognormal,U16p_61_high
24.9,8.23,D_T_aver,sigma_T,lognormal,U16p_61_high
48.3,6.81,D_T_aver,sigma_T,lognormal,U16p_61_high
49.0,13.4,D_T_aver,sigma_T,lognormal,U16p_61_high
49.6,11.6,D_T_aver,sigma_T,lognormal,U16p_61_high
1.9,19.2,D_U_aver,sigma_U,lognormal,U16p_61_high
2.2,12.1,D_U_aver,sigma_U,lognormal,U16p_61_high
5.9,16.7,D_U_aver,sigma_U,lognormal,U16p_61_high
6,12.5,D_U_aver,sigma_U,lognormal,U16p_61_high
24.5,5.00,D_U_aver,sigma_U,lognormal,U16p_61_high
24.9,7.00,D_U_aver,sigma_U,lognormal,U16p_61_high
48.3,3.91,D_U_aver,sigma_U,lognormal,U16p_61_high
49.0,3.62,D_U_aver,sigma_U,lognormal,U16p_61_high
49.6,4.44,D_U_aver,sigma_U,lognormal,U16p_61_high
